Symbol,median_volatility,hist_volatility,mean_momentum,mean_volume_norm,environmentScore,socialScore,governanceScore,marketCap,beta,highestControversy,GICS_Sector_encoded,GICS_Sector,Cluster_DBSCAN
BBY,0.022033930940488975,0.3162388377397137,1.0074103921653381,0.000161390238296621,2.53,7.95,3.2,23.643447960746773,1.452,2,4.690799999999999,Consumer Discretionary,Safe
BDX,0.016159663701895397,0.1928951369838632,0.9995761465283775,2.3809151738454435e-05,3.23,13.72,6.72,24.90678040323844,0.379,3,5.7454237288135594,Health Care,Safe
BEN,0.020499992722444117,0.30455457991721957,0.9903972523142621,0.000387604957654284,2.45,9.07,8.16,23.067870725178928,1.45,2,8.912463768115943,Financials,Risky
BG,0.01992031835186489,0.2500815765756617,0.9910045762499744,0.00016544322075407925,14.39,13.26,5.27,22.987413716339223,0.65,3,4.580285714285714,Consumer Staples,Safe
BIIB,0.021638987464420424,0.2547735813045433,0.9790486999222588,6.012876600327422e-05,0.45,13.01,7.05,23.755465202117286,0.012,3,5.7454237288135594,Health Care,Risky
BK,0.014708459957932404,0.19052861886947706,1.018406725503247,6.137032925741119e-05,0.7,10.55,8.67,24.870945143753755,1.051,2,8.912463768115943,Financials,Moderate
BKNG,0.01864349616197343,0.2623900522874807,1.0126483312441565,1.5276978265481865e-06,0.87,9.55,4.35,25.81276776280073,1.404,2,4.690799999999999,Consumer Discretionary,Safe
BKR,0.020471458130829446,0.2778269662984734,1.0140699233099633,0.0001651465273451206,7.3,6.39,5.44,24.488385764524935,1.287,2,5.838636363636363,Energy,Safe
BLDR,0.02786063232239213,0.4228577026014051,0.9980379364600679,0.00010193900679194739,13.64,6.96,6.14,23.453060888921943,2.197,1,4.938666666666666,Industrials,Risky
BMY,0.019828675752240933,0.281197409130857,1.00577432092609,0.00011210968618481464,0.46,14.59,6.14,25.523138946625092,0.436,2,5.7454237288135594,Health Care,Safe
BR,0.013696583622853267,0.17625253263084112,1.0068460718025094,1.774276876577155e-05,5.5,9.51,3.18,24.078411001434148,1.063,0,4.938666666666666,Industrials,Safe
BRO,0.014060380604177102,0.17978785135487624,1.0148297355822196,3.914597691948916e-05,0.31,9.91,10.89,24.257672451641092,0.856,1,8.912463768115943,Financials,Moderate
